act,n_turns,z_dim,mean_z_t,mean_z_t1,mean_shift,abs_shift,dominant_dim
new_offer,271,z_1,1.13041,1.00335,-0.12707,0.12707,z_1
new_offer,271,z_2,-0.33692,-0.33431,0.0026,0.0026,z_1
new_offer,271,z_3,1.11119,1.1761,0.06491,0.06491,z_1
new_offer,271,z_4,1.78105,1.69823,-0.08282,0.08282,z_1
repeat_offer,88,z_1,1.21739,1.14035,-0.07705,0.07705,z_1
repeat_offer,88,z_2,-0.13073,-0.18979,-0.05905,0.05905,z_1
repeat_offer,88,z_3,1.1261,1.05692,-0.06919,0.06919,z_1
repeat_offer,88,z_4,1.91892,1.84484,-0.07408,0.07408,z_1
push,96,z_1,0.42078,0.43524,0.01446,0.01446,z_4
push,96,z_2,-0.54061,-0.46551,0.0751,0.0751,z_4
push,96,z_3,1.01608,0.94403,-0.07205,0.07205,z_4
push,96,z_4,1.28162,1.36972,0.0881,0.0881,z_4
push_neutral,96,z_1,0.42078,0.43524,0.01446,0.01446,z_4
push_neutral,96,z_2,-0.54061,-0.46551,0.0751,0.0751,z_4
push_neutral,96,z_3,1.01608,0.94403,-0.07205,0.07205,z_4
push_neutral,96,z_4,1.28162,1.36972,0.0881,0.0881,z_4
comparison,69,z_1,1.14049,1.03547,-0.10502,0.10502,z_1
comparison,69,z_2,-0.28256,-0.27381,0.00876,0.00876,z_1
comparison,69,z_3,1.18082,1.24644,0.06562,0.06562,z_1
comparison,69,z_4,1.71585,1.6136,-0.10225,0.10225,z_1
comparison_price,67,z_1,1.15987,1.05593,-0.10395,0.10395,z_4
comparison_price,67,z_2,-0.2378,-0.2261,0.0117,0.0117,z_4
comparison_price,67,z_3,1.22219,1.29259,0.0704,0.0704,z_4
comparison_price,67,z_4,1.74729,1.64208,-0.10521,0.10521,z_4
end,216,z_1,0.76867,0.64069,-0.12797,0.12797,z_1
end,216,z_2,-0.40554,-0.49002,-0.08448,0.08448,z_1
end,216,z_3,0.8972,0.81414,-0.08306,0.08306,z_1
end,216,z_4,1.65483,1.54775,-0.10708,0.10708,z_1
